id,name,address,phone
3000,Cyclone Sporting Goods,"505 Adventure Ct, Stars Hollow",514-465-1361
3001,AllStar Equipment,"123 Performance St, Hawkins",564-671-2924
3002,FitPro Distributors,"90 Outdoor Rd, Pawnee",223-448-5991
3003,Victory Wholesale,"1112 Cyclone Ct, Gotham",256-374-1294
3004,Pinnacle Gear Co.,"1112 Cyclone Ct, Gotham",290-999-2997
3005,PrimeFit Supplies,"67 Adventure Ct, Emerald City",563-119-1013
3006,Endurance Sports Co.,"78 Supply Ave, Riverdale",528-681-9738
3007,Precision Sports Supplies,"78 Supply Ave, Riverdale",683-574-8645
3008,Dynamic Sports Solutions,"1516 Pinnacle Ln, Shelbyville",843-111-4389
3009,Elite Sporting Co.,"789 Endurance Dr, Twin Peaks",141-679-4908
3010,ProGear Distributors,"101 Trail Rd, Amity",336-623-1409
3011,Global Sports Supplies,"78 Supply Ave, Riverdale",456-550-8261
3012,Pinnacle Gear Co.,"707 Victory Way, Storybrooke",292-294-1667
3013,Ace Outdoor Gear,"1314 Summit St, Metropolis",191-865-6278
3014,Champion's Choice Co.,"23 Distributor Dr, Shelbyville",121-917-2878
3015,Ace Outdoor Gear,"456 Marathon Ln, Mayberry",174-435-3093
3016,Peak Performance Gear,"90 Outdoor Rd, Pawnee",712-531-4371
3017,FitPro Distributors,"1819 Superior Ave, Metropolis",587-566-3911
3018,Precision Sports Supplies,"808 Dynamic Dr, Haddonfield",599-990-7082
3019,ProGear Distributors,"89 Fitness Way, Gotham",278-909-3830
3020,Pinnacle Gear Co.,"1516 Pinnacle Ln, Shelbyville",538-530-5940
3021,Ultimate Sports Co.,"789 Endurance Dr, Twin Peaks",633-194-8951
3022,AllStar Equipment,"1516 Pinnacle Ln, Shelbyville",287-259-3013
3023,Endurance Sports Co.,"303 ActiveLife Ln, Smallville",436-265-1891
3024,TopScore Enterprises,"12 Industrial Rd, Capital City",376-265-6163
3025,SportTech Suppliers,"1314 Summit St, Metropolis",314-928-2316
3026,Cyclone Sporting Goods,"606 Gear Ave, Sunnydale",895-458-7328
3027,Victory Wholesale,"789 Endurance Dr, Twin Peaks",731-352-3541
3028,Ultimate Sports Co.,"123 Performance St, Hawkins",240-162-5791
3029,Summit Sports Co.,"67 Adventure Ct, Emerald City",909-447-6461
